Start,Destination,Via Road,Distance (km),Signals,Congestion Count,Waterlogging Count,Congestion Points,Waterlogging Points,Route Type,Time (Car),Time (Bike),Time (Cycle),Time (Bus),Expense (Car),Expense (Bike),Expense (Cycle),Expense (Bus),Pollution (Car),Pollution (Bike),Pollution (Cycle),Pollution (Bus),Total Time
"Pitampura, Delhi","Janakpuri, Delhi",Mehrauli-Gurgaon Road,27.5,10,4,1,"Adchini Village, Ashram Chowk, Barapullah Flyover, Captain Gaud Marg",Najafgarh Road,Highway,83.02,67.27,143.01,75.56,204.27,119.79,0.28,29.91,472.16,331.35,-0.41,370.46,38.83333333333333
"Daryaganj, Delhi","Tughlaqabad, Delhi",DND Flyway,36.0,9,4,2,"MB Road (Saket Metro to Khanpur), Rohini West Metro Station, Dwarka Link Road, NH-48 Gurugram Border","Dwarka Link Road, Anuvrat Marg",Main Road,101.59,81.79,178.09,94.0,267.53,152.31,0.36,12.4,597.74,398.83,0.39,501.94,44.4
"Daryaganj, Delhi","Tughlaqabad, Delhi",Barapullah Corridor,22.62,5,3,1,"Peera Garhi Chowk, Lala Lajpat Rai Marg near CGO Complex, Rohini West Metro Station",Boulevard Road,Highway,64.54,52.23,112.28,59.91,173.31,98.28,0.23,9.68,400.28,270.47,-0.36,337.94,35.507999999999996
"Daryaganj, Delhi","Tughlaqabad, Delhi",Outer Ring Road,13.36,10,4,3,"Adchini Village, Lala Lajpat Rai Marg near CGO Complex, Captain Gaud Marg, MB Road (Saket Metro to Khanpur)","Akbar Road, Kanjhawala Road, Africa Avenue Road",Internal Road,60.62,51.95,92.34,55.05,111.99,67.71,0.13,8.42,279.56,189.38,-0.49,230.74,47.89066666666667
"Daryaganj, Delhi","Tughlaqabad, Delhi",Vikas Marg,37.66,9,4,2,"Captain Gaud Marg, Azadpur Flyover, Kashmiri Gate Ring Road, Barapullah Flyover","Boulevard Road, Mathura Road",Main Road,105.04,84.41,184.86,97.11,279.57,165.48,0.38,14.74,645.86,443.87,-0.09,514.18,44.510666666666665
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Rohtak Road,12.05,12,3,3,"Britannia Chowk, Peera Garhi Chowk, MB Road (Saket Metro to Khanpur)","Outer Ring Road, Aurobindo Marg, Mathura Road",Internal Road,55.8,47.38,85.91,49.59,95.12,55.78,0.12,11.84,260.66,161.33,0.25,209.77,44.803333333333335
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",NH48,46.26,12,2,1,"MB Road (Saket Metro to Khanpur), Britannia Chowk",Anuvrat Marg,Internal Road,113.73,88.2,212.25,103.74,343.7,195.32,0.46,16.52,760.59,528.14,-0.33,612.46,34.084
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Barapullah Corridor,42.4,10,3,1,"Kashmiri Gate Ring Road, Peera Garhi Chowk, Captain Gaud Marg",SSN Marg,Main Road,108.55,85.35,198.35,99.5,315.77,181.18,0.42,15.01,698.78,490.55,-0.18,554.15,36.82666666666667
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Vikas Marg,43.35,9,3,2,"Dwarka Link Road, Adchini Village, NH-48 Gurugram Border","Najafgarh Road, Anuvrat Marg",Highway,112.41,88.94,203.61,103.78,323.15,181.9,0.43,18.94,734.31,467.7,0.2,577.91,41.89
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Barapullah Corridor,32.95,6,2,1,"Yusuf Sarai Market, Captain Gaud Marg",Choudhary Fateh Singh Marg,Main Road,82.53,64.86,151.43,75.78,246.91,139.88,0.33,20.54,578.67,375.18,-0.29,452.21,33.196666666666665
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",NH44,41.31,9,2,2,"Mukraba to Madhuban Chowk, MB Road (Saket Metro to Khanpur)","Anuvrat Marg, Tilak Marg",Highway,104.71,82.26,191.83,95.96,306.97,174.81,0.41,28.65,693.1,456.46,-0.43,554.17,38.754000000000005
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Barapullah Corridor,29.09,10,1,1,Kalindi Kunj Road,Kanjhawala Road,Highway,74.37,57.82,137.55,66.54,223.5,127.72,0.29,22.0,500.77,358.29,-0.44,413.29,29.939333333333334
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Mehrauli-Gurgaon Road,44.16,10,4,2,"Kalindi Kunj Road, Ashram Chowk, Mukraba to Madhuban Chowk, Captain Gaud Marg","Africa Avenue Road, Aurobindo Marg",Main Road,118.73,94.65,212.05,109.8,327.9,190.09,0.44,20.03,732.77,481.4,0.4,598.73,44.944
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Barapullah Corridor,16.15,11,1,2,Rohini West Metro Station,"Dwarka Link Road, Boulevard Road",Highway,51.52,41.24,89.32,45.78,129.71,73.16,0.16,27.07,320.38,193.53,0.47,244.69,34.07666666666667
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Vikas Marg,24.97,6,3,2,"Captain Gaud Marg, Adchini Village, Rohini West Metro Station","Tilak Marg, Ashoka Road",Internal Road,73.26,59.57,126.2,67.82,188.88,105.0,0.25,16.36,444.1,299.49,0.24,354.48,40.66466666666666
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Mehrauli-Gurgaon Road,45.88,11,4,3,"Azadpur Flyover, Britannia Chowk, Captain Gaud Marg, Peera Garhi Chowk","Anuvrat Marg, Aurobindo Marg, Africa Avenue Road",Internal Road,126.66,101.52,223.92,116.53,333.22,191.32,0.46,19.61,785.0,493.49,-0.19,620.93,50.05866666666667
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Outer Ring Road,6.4,5,4,3,"Rohini West Metro Station, Lala Lajpat Rai Marg near CGO Complex, Britannia Chowk, Kashmiri Gate Ring Road","Shankar Road, Ring Road, Dwarka Link Road",Main Road,42.02,37.82,57.32,39.5,61.27,34.96,0.06,15.19,185.25,122.75,0.13,130.81,47.42666666666666
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Mathura Road,20.54,6,2,1,"Azadpur Flyover, Under IIT Flyover",Najafgarh Road,Main Road,57.57,46.1,101.65,52.51,156.19,92.64,0.21,27.1,370.8,252.65,-0.14,298.75,32.36933333333333
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Mehrauli-Gurgaon Road,33.82,8,3,3,"Peera Garhi Chowk, Lala Lajpat Rai Marg near CGO Complex, Rohini West Metro Station","Dwarka Link Road, Outer Ring Road, Choudhary Fateh Singh Marg",Highway,95.72,77.22,167.37,88.41,251.57,140.34,0.34,13.03,604.38,404.06,-0.14,472.38,46.254666666666665
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Rohtak Road,27.03,12,1,2,Lala Lajpat Rai Marg near CGO Complex,"SSN Marg, Akbar Road",Internal Road,74.59,58.68,134.66,66.68,204.27,121.47,0.27,21.32,480.2,317.84,-0.24,383.23,34.802
"South Extension, Delhi","Bhikaji Cama Place, Delhi",NH44,39.74,9,3,3,"Peera Garhi Chowk, Captain Gaud Marg, Mukraba to Madhuban Chowk","GT Road, Tilak Marg, Africa Avenue Road",Highway,108.22,86.55,192.2,100.01,292.45,166.35,0.4,24.57,679.22,449.61,-0.2,540.26,46.64933333333333
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Mehrauli-Gurgaon Road,48.01,5,4,1,"Azadpur Flyover, Britannia Chowk, Kashmiri Gate Ring Road, Mukraba to Madhuban Chowk",SSN Marg,Highway,119.36,94.36,217.88,111.52,346.21,205.09,0.48,30.22,771.9,535.68,-0.37,650.2,40.20066666666666
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Najafgarh Road,49.96,5,2,3,"Azadpur Flyover, Under IIT Flyover","Mathura Road, SSN Marg, Dwarka Link Road",Highway,121.36,95.38,223.78,113.17,361.23,209.69,0.5,24.18,815.18,532.23,-0.46,660.86,44.330666666666666
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Rohtak Road,37.42,8,1,1,Barapullah Flyover,Dwarka Link Road,Highway,88.62,68.31,167.46,81.16,281.7,159.11,0.37,13.7,630.59,441.16,0.34,502.68,30.494666666666667
"Rithala, Delhi","Chhatarpur, Delhi",Outer Ring Road,33.51,5,3,3,"Kalindi Kunj Road, Mukraba to Madhuban Chowk, Azadpur Flyover","SSN Marg, Tilak Marg, Anuvrat Marg",Highway,92.55,74.8,162.07,86.33,247.56,141.34,0.34,14.1,573.94,397.55,-0.1,477.89,46.234
"Rithala, Delhi","Chhatarpur, Delhi",Barapullah Corridor,21.99,5,2,2,"Rohini West Metro Station, Barapullah Flyover","Anuvrat Marg, Shankar Road",Internal Road,62.34,50.35,108.82,57.73,169.0,97.61,0.22,21.67,389.18,268.64,-0.44,316.66,37.466
"Rithala, Delhi","Chhatarpur, Delhi",DND Flyway,31.14,7,1,1,Kalindi Kunj Road,SSN Marg,Main Road,75.47,58.51,141.25,68.89,233.13,130.51,0.31,25.33,541.53,352.23,-0.29,431.6,30.076
"Rithala, Delhi","Chhatarpur, Delhi",Mehrauli-Gurgaon Road,32.66,8,2,2,"Kashmiri Gate Ring Road, Azadpur Flyover","SSN Marg, Boulevard Road",Highway,86.33,68.4,155.65,79.24,244.15,144.73,0.33,26.96,558.32,375.96,-0.19,453.89,38.17733333333334
"Rithala, Delhi","Chhatarpur, Delhi",Rohtak Road,45.81,5,2,1,"Azadpur Flyover, Peera Garhi Chowk",Ring Road,Main Road,106.87,82.97,200.99,99.39,339.5,192.9,0.46,19.41,753.55,490.27,-0.48,597.2,34.054
"Govindpuri, Delhi","Seelampur, Delhi",Mehrauli-Gurgaon Road,6.37,12,2,2,"Captain Gaud Marg, Rohini West Metro Station","Najafgarh Road, Kanjhawala Road",Main Road,37.08,31.49,55.81,31.94,61.47,38.85,0.06,20.66,168.28,118.69,0.37,117.7,36.42466666666667
"Govindpuri, Delhi","Seelampur, Delhi",Najafgarh Road,28.45,7,1,3,Kashmiri Gate Ring Road,"Dwarka Link Road, Outer Ring Road, Shankar Road",Internal Road,76.28,60.65,136.68,69.84,211.5,118.86,0.28,28.84,494.84,345.53,0.31,395.75,39.89666666666667
"Govindpuri, Delhi","Seelampur, Delhi",Mehrauli-Gurgaon Road,32.79,10,2,1,"Adchini Village, Dwarka Link Road",Boulevard Road,Highway,84.93,66.53,155.51,77.48,247.4,138.48,0.33,13.13,583.19,374.06,0.24,453.44,33.186
"Govindpuri, Delhi","Seelampur, Delhi",Najafgarh Road,47.25,11,1,1,NH-48 Gurugram Border,Najafgarh Road,Internal Road,111.06,85.23,211.06,101.09,347.83,196.58,0.47,28.72,786.46,514.71,0.24,618.07,31.15
"Govindpuri, Delhi","Seelampur, Delhi",Rohtak Road,42.16,12,3,3,"Azadpur Flyover, Rohini West Metro Station, Captain Gaud Marg","Mathura Road, Dwarka Link Road, Anuvrat Marg",Highway,115.88,92.4,206.2,106.05,305.64,174.89,0.42,19.72,731.8,471.47,0.46,563.26,46.81066666666666
"Kalkaji, Delhi","RK Puram, Delhi",Rohtak Road,22.71,9,2,1,"Adchini Village, Ashram Chowk",Choudhary Fateh Singh Marg,Internal Road,64.32,51.16,114.24,58.08,171.46,105.04,0.23,20.93,426.56,277.25,0.12,332.13,32.513999999999996
"Kalkaji, Delhi","RK Puram, Delhi",Outer Ring Road,26.62,6,4,2,"Under IIT Flyover, Lala Lajpat Rai Marg near CGO Complex, Kalindi Kunj Road, Mukraba to Madhuban Chowk","Najafgarh Road, Kanjhawala Road",Main Road,80.52,66.0,136.75,74.91,198.12,115.46,0.27,16.88,484.65,311.18,0.49,391.86,43.77466666666667
"Kalkaji, Delhi","RK Puram, Delhi",Najafgarh Road,26.81,8,1,1,Kashmiri Gate Ring Road,Ring Road,Highway,67.57,52.57,125.19,61.27,202.3,113.81,0.27,29.05,501.84,325.49,0.11,401.05,29.787333333333333
"Kalkaji, Delhi","RK Puram, Delhi",Rohtak Road,34.14,11,3,1,"Kalindi Kunj Road, Yusuf Sarai Market, Kashmiri Gate Ring Road",Shankar Road,Highway,92.74,73.47,166.52,84.51,251.4,147.98,0.34,21.52,606.53,376.91,0.43,485.85,36.275999999999996
"Rithala, Delhi","Chhatarpur, Delhi",Outer Ring Road,14.77,5,3,3,"Azadpur Flyover, Rohini West Metro Station, Kalindi Kunj Road","SSN Marg, Ashoka Road, GT Road",Main Road,54.77,46.38,86.81,51.19,121.33,69.6,0.15,14.25,305.73,198.56,-0.13,238.95,44.98466666666667
"Rithala, Delhi","Chhatarpur, Delhi",Barapullah Corridor,30.93,9,1,3,Dwarka Link Road,"Aurobindo Marg, Akbar Road, Najafgarh Road",Internal Road,83.06,65.8,149.42,75.49,229.39,136.73,0.31,23.86,533.97,361.74,0.33,412.51,40.062
"Rithala, Delhi","Chhatarpur, Delhi",Mathura Road,14.91,12,3,1,"Kashmiri Gate Ring Road, Under IIT Flyover, Ashram Chowk",Africa Avenue Road,Internal Road,55.34,45.48,91.16,48.96,124.19,73.24,0.15,19.48,295.77,192.62,-0.32,220.34,34.994
"Rithala, Delhi","Chhatarpur, Delhi",Najafgarh Road,27.3,6,1,1,Kalindi Kunj Road,Boulevard Road,Highway,66.86,52.01,124.46,61.19,205.42,114.73,0.27,24.39,503.39,315.54,0.19,388.7,29.82
"Rithala, Delhi","Chhatarpur, Delhi",Mehrauli-Gurgaon Road,48.03,6,2,2,"Ashram Chowk, Dwarka Link Road","Boulevard Road, SSN Marg",Internal Road,115.19,89.97,214.25,107.06,354.49,198.59,0.48,34.6,788.4,538.5,-0.38,619.44,39.202
"Kalkaji, Delhi","RK Puram, Delhi",Outer Ring Road,27.44,11,1,1,Dwarka Link Road,GT Road,Main Road,71.12,55.2,131.5,63.95,206.4,120.45,0.27,29.8,474.09,316.12,0.11,372.05,29.829333333333334
"Kalkaji, Delhi","RK Puram, Delhi",Najafgarh Road,24.32,7,2,2,"Mukraba to Madhuban Chowk, Barapullah Flyover","Ring Road, Akbar Road",Highway,68.63,55.07,120.78,63.1,189.06,108.28,0.24,20.23,451.52,274.27,-0.4,363.88,37.62133333333333
"Kalkaji, Delhi","RK Puram, Delhi",Najafgarh Road,24.98,10,3,2,"Mukraba to Madhuban Chowk, Yusuf Sarai Market, Dwarka Link Road","SSN Marg, Aurobindo Marg",Highway,76.47,61.98,131.43,69.84,185.48,107.01,0.25,28.0,454.82,311.45,0.43,354.89,40.665333333333336
"Kalkaji, Delhi","RK Puram, Delhi",Rohtak Road,27.52,5,3,1,"Under IIT Flyover, Peera Garhi Chowk, Adchini Village",Ring Road,Main Road,74.52,59.75,132.06,69.1,208.11,120.96,0.28,13.26,486.32,338.35,0.41,404.37,35.834666666666664
"Kalkaji, Delhi","RK Puram, Delhi",Najafgarh Road,26.23,11,4,1,"Peera Garhi Chowk, Rohini West Metro Station, Kalindi Kunj Road, Captain Gaud Marg",Mathura Road,Main Road,81.06,65.74,139.01,73.68,198.49,112.61,0.26,21.12,492.86,316.22,-0.41,385.04,38.748666666666665
"Kashmere Gate, Delhi","Saket, Delhi",Mathura Road,17.02,7,3,1,"Peera Garhi Chowk, Adchini Village, Lala Lajpat Rai Marg near CGO Complex",Tilak Marg,Internal Road,54.92,45.02,92.47,50.41,131.22,79.41,0.17,16.07,341.52,220.88,-0.02,271.41,35.13466666666667
"Kashmere Gate, Delhi","Saket, Delhi",Najafgarh Road,20.68,9,2,3,"NH-48 Gurugram Border, Azadpur Flyover","Africa Avenue Road, Ashoka Road, Anuvrat Marg",Main Road,66.19,54.05,112.05,60.27,158.64,90.02,0.21,20.4,367.59,255.47,0.12,288.81,42.37866666666667
"Kashmere Gate, Delhi","Saket, Delhi",Barapullah Corridor,34.58,7,1,1,Ashram Chowk,Anuvrat Marg,Internal Road,82.06,63.37,154.72,75.34,252.68,150.68,0.35,16.27,596.5,404.29,0.03,494.37,30.305333333333333
"Kashmere Gate, Delhi","Saket, Delhi",Mehrauli-Gurgaon Road,47.54,10,4,1,"Dwarka Link Road, Kalindi Kunj Road, Lala Lajpat Rai Marg near CGO Complex, Under IIT Flyover",SSN Marg,Main Road,123.04,97.27,223.12,113.14,344.46,203.73,0.48,22.48,798.2,530.11,-0.32,631.48,40.169333333333334
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Mathura Road,41.19,7,1,1,NH-48 Gurugram Border,Kanjhawala Road,Internal Road,95.27,73.27,181.14,87.73,301.3,172.32,0.41,25.17,697.37,479.09,-0.45,550.04,30.746
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Najafgarh Road,13.59,10,3,1,"Mukraba to Madhuban Chowk, Under IIT Flyover, Britannia Chowk",Tilak Marg,Main Road,50.94,42.14,83.12,45.48,106.88,65.69,0.14,20.03,274.8,174.8,-0.46,214.71,34.906
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",NH44,21.76,12,3,2,"Mukraba to Madhuban Chowk, Barapullah Flyover, NH-48 Gurugram Border","Ashoka Road, Aurobindo Marg",Main Road,72.37,59.09,121.89,64.8,168.43,100.79,0.22,23.91,414.56,252.55,-0.29,315.03,40.45066666666666
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Barapullah Corridor,23.14,10,4,1,"Mukraba to Madhuban Chowk, Kalindi Kunj Road, Peera Garhi Chowk, Adchini Village",Ashoka Road,Main Road,73.77,60.2,125.05,67.39,177.75,102.77,0.23,13.08,410.9,288.34,0.04,340.73,38.54266666666666
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",NH48,47.67,7,4,2,"Kalindi Kunj Road, Britannia Chowk, Yusuf Sarai Market, Rohini West Metro Station","Africa Avenue Road, SSN Marg",Main Road,123.36,98.12,222.19,114.88,351.25,197.89,0.48,27.17,783.04,526.76,0.44,637.08,45.178
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Rohtak Road,46.22,9,4,3,"Under IIT Flyover, Rohini West Metro Station, Kashmiri Gate Ring Road, Yusuf Sarai Market","Tilak Marg, GT Road, Mathura Road",Highway,125.64,100.73,222.59,116.16,342.31,193.43,0.46,19.4,764.23,495.75,0.41,617.55,50.08133333333333
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Najafgarh Road,38.38,6,1,3,Mukraba to Madhuban Chowk,"Dwarka Link Road, Boulevard Road, Outer Ring Road",Highway,94.75,74.36,174.51,87.96,284.57,161.54,0.38,17.16,652.29,424.18,0.23,502.79,40.55866666666667
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Barapullah Corridor,8.67,12,3,3,"MB Road (Saket Metro to Khanpur), Ashram Chowk, Mukraba to Madhuban Chowk","Mathura Road, Choudhary Fateh Singh Marg, Africa Avenue Road",Main Road,48.75,42.02,72.09,43.26,77.5,43.69,0.09,11.7,197.12,149.21,0.01,181.95,44.578
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Najafgarh Road,34.89,5,4,3,"Under IIT Flyover, Kalindi Kunj Road, Azadpur Flyover, NH-48 Gurugram Border","Choudhary Fateh Singh Marg, Kanjhawala Road, Outer Ring Road",Main Road,98.8,80.35,171.07,92.92,263.99,146.09,0.35,28.82,589.37,393.34,-0.4,471.31,49.326
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Najafgarh Road,40.4,9,4,2,"Captain Gaud Marg, Mukraba to Madhuban Chowk, Dwarka Link Road, Yusuf Sarai Market","Mathura Road, Ashoka Road",Main Road,111.1,89.1,196.4,102.25,293.89,176.26,0.4,17.8,692.97,447.87,0.1,546.98,44.693333333333335
"Connaught Place, Delhi","Noida, Delhi",Rohtak Road,22.42,11,1,3,Mukraba to Madhuban Chowk,"Kanjhawala Road, Outer Ring Road, Choudhary Fateh Singh Marg",Internal Road,67.56,54.14,117.9,60.54,174.08,98.84,0.22,16.34,428.79,254.35,-0.34,325.22,39.49466666666667
"Connaught Place, Delhi","Noida, Delhi",DND Flyway,39.42,12,2,1,"Barapullah Flyover, Under IIT Flyover",Aurobindo Marg,Highway,100.11,78.0,184.94,90.91,291.89,169.61,0.39,17.06,664.77,436.02,0.09,527.78,33.628
"Connaught Place, Delhi","Noida, Delhi",Mathura Road,45.44,12,3,1,"Captain Gaud Marg, NH-48 Gurugram Border, Yusuf Sarai Market",Najafgarh Road,Internal Road,116.58,91.46,213.47,106.2,335.94,193.06,0.45,29.83,757.51,510.61,0.44,592.54,37.029333333333334
"Connaught Place, Delhi","Noida, Delhi",Vikas Marg,12.02,9,2,2,"NH-48 Gurugram Border, Under IIT Flyover","Anuvrat Marg, Outer Ring Road",Highway,46.16,38.36,74.7,41.04,95.21,58.81,0.12,22.74,265.24,168.98,-0.44,211.65,36.80133333333333
"Connaught Place, Delhi","Noida, Delhi",Barapullah Corridor,5.84,11,4,1,"Peera Garhi Chowk, Kalindi Kunj Road, Barapullah Flyover, Yusuf Sarai Market",Boulevard Road,Main Road,40.31,35.2,57.49,35.45,53.76,36.71,0.06,8.96,187.22,88.46,0.14,121.19,37.38933333333333
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Najafgarh Road,30.41,11,3,2,"Azadpur Flyover, Kashmiri Gate Ring Road, Captain Gaud Marg","Boulevard Road, Africa Avenue Road",Highway,88.46,71.06,154.78,80.52,224.67,131.62,0.3,30.31,537.43,343.47,-0.08,410.48,41.02733333333333
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Mehrauli-Gurgaon Road,27.04,12,1,2,MB Road (Saket Metro to Khanpur),"Boulevard Road, Dwarka Link Road",Main Road,74.28,58.36,134.37,66.7,207.69,117.28,0.27,29.11,476.61,325.1,0.02,402.14,34.80266666666667
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",NH44,49.91,6,2,1,"Captain Gaud Marg, Rohini West Metro Station",Aurobindo Marg,Main Road,116.28,90.12,219.1,107.58,359.52,206.05,0.5,31.46,836.41,540.98,-0.08,649.12,34.32733333333333
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Outer Ring Road,15.46,9,1,2,Peera Garhi Chowk,"Mathura Road, Aurobindo Marg",Main Road,49.0,39.47,84.42,43.49,120.46,74.31,0.15,14.49,283.66,195.0,0.33,237.57,34.03066666666666
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Najafgarh Road,23.48,8,4,3,"Ashram Chowk, Lala Lajpat Rai Marg near CGO Complex, MB Road (Saket Metro to Khanpur), Kashmiri Gate Ring Road","SSN Marg, Africa Avenue Road, GT Road",Internal Road,78.97,65.63,129.94,73.03,176.17,101.73,0.23,22.47,411.78,284.87,-0.45,334.66,48.565333333333335
"Kalkaji, Delhi","RK Puram, Delhi",Najafgarh Road,12.41,11,1,3,Rohini West Metro Station,"GT Road, Boulevard Road, Shankar Road",Highway,47.69,39.28,78.0,41.77,106.2,58.11,0.12,16.72,243.91,158.23,0.25,223.52,38.82733333333333
"Kalkaji, Delhi","RK Puram, Delhi",Mathura Road,17.31,9,1,1,Azadpur Flyover,Ashoka Road,Internal Road,49.63,39.18,88.75,43.96,140.29,78.51,0.17,27.32,349.66,214.4,-0.21,274.07,29.154
"Kalkaji, Delhi","RK Puram, Delhi",NH44,16.46,5,3,2,"Azadpur Flyover, Peera Garhi Chowk, Kashmiri Gate Ring Road","Boulevard Road, Shankar Road",Internal Road,55.34,46.11,90.76,51.36,131.41,76.4,0.16,11.17,341.25,204.99,0.47,271.59,40.09733333333334
"Kalkaji, Delhi","RK Puram, Delhi",Barapullah Corridor,5.49,8,4,3,"Azadpur Flyover, Barapullah Flyover, Rohini West Metro Station, Ashram Chowk","Ring Road, Tilak Marg, Outer Ring Road",Main Road,42.77,38.43,57.76,39.29,49.23,31.29,0.05,15.45,138.81,120.37,-0.31,110.19,47.366
"Kalkaji, Delhi","RK Puram, Delhi",Mehrauli-Gurgaon Road,11.5,9,3,2,"Peera Garhi Chowk, Azadpur Flyover, Captain Gaud Marg","Aurobindo Marg, Choudhary Fateh Singh Marg",Internal Road,49.04,41.49,76.54,44.06,95.62,55.6,0.12,9.03,230.33,165.76,0.49,213.86,39.766666666666666
"Kashmere Gate, Delhi","Saket, Delhi",Rohtak Road,8.91,11,3,1,"Dwarka Link Road, Lala Lajpat Rai Marg near CGO Complex, Under IIT Flyover",Mathura Road,Internal Road,42.45,35.8,65.77,37.21,81.93,46.29,0.09,18.92,195.81,139.01,-0.04,158.44,34.594
"Kashmere Gate, Delhi","Saket, Delhi",Najafgarh Road,15.49,11,4,3,"Yusuf Sarai Market, Kalindi Kunj Road, MB Road (Saket Metro to Khanpur), Ashram Chowk","Africa Avenue Road, Boulevard Road, Dwarka Link Road",Main Road,65.58,55.64,102.06,59.54,124.81,72.83,0.15,22.49,319.62,193.69,0.07,263.35,48.03266666666667
"Kashmere Gate, Delhi","Saket, Delhi",NH44,22.13,6,3,1,"Captain Gaud Marg, MB Road (Saket Metro to Khanpur), Barapullah Flyover",Dwarka Link Road,Main Road,64.45,52.19,111.72,59.49,172.17,99.75,0.22,16.32,412.99,252.65,-0.15,308.32,35.47533333333333
"Kashmere Gate, Delhi","Saket, Delhi",NH44,24.51,9,4,1,"Rohini West Metro Station, Mukraba to Madhuban Chowk, Peera Garhi Chowk, Adchini Village",Outer Ring Road,Main Road,75.91,61.86,129.43,69.46,186.46,111.64,0.25,22.47,456.64,292.27,-0.18,348.18,38.634
"Kashmere Gate, Delhi","Saket, Delhi",Mathura Road,24.67,8,2,3,"Britannia Chowk, Adchini Village","GT Road, Anuvrat Marg, Ring Road",Internal Road,73.26,59.33,126.6,67.26,185.7,112.52,0.25,18.8,438.31,306.47,-0.1,372.19,42.644666666666666
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",NH44,32.1,12,2,1,"Captain Gaud Marg, Mukraba to Madhuban Chowk",Tilak Marg,Highway,85.64,67.19,155.84,77.19,241.39,140.31,0.32,15.68,537.66,379.21,-0.11,430.98,33.14
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Barapullah Corridor,44.17,10,1,3,Lala Lajpat Rai Marg near CGO Complex,"Boulevard Road, Anuvrat Marg, SSN Marg",Internal Road,110.36,86.27,203.7,100.82,328.31,182.83,0.44,24.73,714.87,503.1,-0.48,588.9,40.94466666666666
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Mathura Road,8.09,12,4,2,"Azadpur Flyover, MB Road (Saket Metro to Khanpur), Ashram Chowk, Lala Lajpat Rai Marg near CGO Complex","Dwarka Link Road, Kanjhawala Road",Main Road,48.36,41.91,70.54,43.17,68.07,40.62,0.08,9.62,204.97,134.71,0.03,141.92,42.53933333333333
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",NH48,36.07,9,2,1,"Captain Gaud Marg, Ashram Chowk",Ring Road,Highway,91.43,71.59,168.07,83.13,264.57,150.19,0.36,12.43,599.62,415.1,0.32,489.72,33.40466666666667
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",NH48,36.51,7,2,1,"Rohini West Metro Station, Ashram Chowk",Kanjhawala Road,Main Road,89.95,70.3,166.47,82.96,275.32,160.37,0.37,27.74,602.16,431.15,0.49,478.49,33.434
"Connaught Place, Delhi","Noida, Delhi",Vikas Marg,44.2,11,2,3,"MB Road (Saket Metro to Khanpur), Ashram Chowk","Shankar Road, Tilak Marg, Dwarka Link Road",Internal Road,114.95,90.64,208.84,105.38,326.33,188.77,0.44,24.9,755.38,475.5,0.44,598.16,43.946666666666665
